,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
2108,7.199999999999992,2.5,-0.01449278449219604,482.0,main,0.007240100573863435
2109,7.299999999999992,2.5,-0.01719851135538218,483.0,main,0.006880085983109873
2110,7.399999999999991,2.5,-0.01987154774914176,484.0,main,0.007015657937696876
2111,7.499999999999991,2.5,-0.01949065115093184,484.0,main,0.006563598363471959
2112,7.599999999999991,2.5,-0.01610285101114145,485.0,main,0.006564761227642873
2113,7.69999999999999,2.5,-0.0186801966230069,486.0,main,0.006503856493527438
2114,7.79999999999999,2.5,-0.01212746053910047,488.0,main,0.006156674078087923
2115,7.89999999999999,2.5,-0.01192490968361045,488.0,main,0.006349255056586432
2116,7.999999999999989,2.5,-0.01162927220958148,488.0,main,0.006309486180628158
2117,8.099999999999989,2.5,-0.01145811455559382,488.0,main,0.006348913565172723
2118,8.199999999999989,2.5,-0.01121343302183133,488.0,main,0.006093555830611845
2119,8.299999999999988,2.5,-0.01078793974434235,488.0,main,0.006317281319456027
2120,8.399999999999988,2.5,-0.00736365008089358,489.0,main,0.006356697254065504
2121,8.499999999999988,2.5,-0.01020593178982553,490.0,main,0.006177012926077328
2122,8.599999999999987,2.5,-0.009863800059097589,490.0,main,0.006118230020236262
2123,8.699999999999987,2.5,-0.009469052071286324,490.0,main,0.005861932337012851
2124,8.799999999999986,2.5,-0.008897451062309382,490.0,main,0.006429047714486799
2125,8.899999999999986,2.5,0.003798210776899462,494.0,main,0.00458318199091423
2126,8.999999999999986,2.5,0.003932961045426139,494.0,main,0.004559326319091574
2127,9.099999999999985,2.5,0.004097643594232601,494.0,main,0.004481879392591971
2128,9.199999999999985,2.5,0.004143983123855137,494.0,main,0.004951821491952693
2129,9.299999999999985,2.5,0.00438010523336453,494.0,main,0.004469899081287424
2130,9.399999999999984,2.5,0.007266311319061061,497.0,main,0.002339887117861771
2131,9.499999999999984,2.5,0.007271327288806545,497.0,main,0.002336209536512506
2132,9.599999999999984,2.5,0.007306090841129847,497.0,main,0.002326972724131181
2133,9.699999999999983,2.5,0.007301208717345198,497.0,main,0.00232078726119213
2134,9.799999999999983,2.5,0.007331605482112517,497.0,main,0.002319876000754762
2135,9.899999999999983,2.5,0.007368866193618459,497.0,main,0.002334012033555008
2136,9.999999999999982,2.5,0.00739476297620514,497.0,main,0.002357830164409514
2137,2.2,2.6,-0.2613982372335061,23.0,main,0.02452509094837611
2138,2.4,2.6,0.01814050338298442,334.0,main,0.0177202138571972
2139,2.5,2.6,0.01225413909961806,349.0,main,0.01832501752717666
2140,2.6,2.6,0.01867132213798875,360.0,main,0.02087669793487593
2141,2.7,2.6,0.007990586313045122,365.0,main,0.02149516091329444
2142,2.8,2.6,0.011349156081553,380.0,main,0.01810127486155256
2143,2.9,2.6,0.02158327938573604,386.0,main,0.01644605406319358
2144,3.0,2.6,0.03504297901781581,398.0,main,0.01907482588885594
2145,3.1,2.6,0.0306589830028987,408.0,main,0.01662240158781119
2146,3.2,2.6,0.02845677356560521,409.0,main,0.01736469557558233
2147,3.3,2.6,0.02548065303970877,412.0,main,0.01609435204671948
2148,3.4,2.6,0.0287033472397617,413.0,main,0.01611705417959486
2149,3.5,2.6,0.03557133258996271,420.0,main,0.01488689010131561
2150,3.6,2.6,0.03513980818738732,428.0,main,0.01426305978219001
2151,3.7,2.6,0.03459403975010869,430.0,main,0.01262079804626463
2152,3.8,2.6,0.03928708671980182,432.0,main,0.01096369426442283
